src/main/resources/data/resumes/station.txt
Size of objects array: 9073
Elements saved on DataBase:

Station [codename=null, latitude=0.0, longitude=0.0, basin=null]
Station [codename=147019, latitude=-11240.0, longitude=-472311.0, basin=-]
Station [codename=147020, latitude=-11200.0, longitude=-471048.0, basin=-]
Station [codename=148000, latitude=-12100.0, longitude=-480800.0, basin=-]
Station [codename=148001, latitude=-12700.0, longitude=-483000.0, basin=-]
Station [codename=148002, latitude=-12606.0, longitude=-482616.0, basin=-]
Station [codename=148003, latitude=-11747.0, longitude=-481015.0, basin=-]
Station [codename=148004, latitude=-12300.0, longitude=-482800.0, basin=-]
Station [codename=148005, latitude=-10100.0, longitude=-485600.0, basin=-]
Station [codename=148006, latitude=-11200.0, longitude=-484600.0, basin=-]
Station [codename=148007, latitude=-12100.0, longitude=-480800.0, basin=-]
Station [codename=148008, latitude=-12100.0, longitude=-484700.0, basin=-]
Station [codename=148009, latitude=-15730.0, longitude=-481227.0, basin=-]
Station [codename=148010, latitude=-14417.0, longitude=-485132.0, basin=-]
Station [codename=148011, latitude=-13757.0, longitude=-484516.0, basin=-]
Station [codename=148012, latitude=-10539.0, longitude=-482355.0, basin=-]
Station [codename=148013, latitude=-12800.0, longitude=-482700.0, basin=-]
Station [codename=148014, latitude=-12829.0, longitude=-482711.0, basin=-]
Station [codename=148017, latitude=-13116.0, longitude=-480246.0, basin=-]
Station [codename=148018, latitude=-15814.0, longitude=-485602.0, basin=-]
Station [codename=148019, latitude=-12753.0, longitude=-483016.0, basin=-]
Station [codename=148020, latitude=-13100.0, longitude=-484000.0, basin=-]
Station [codename=149000, latitude=-13000.0, longitude=-491300.0, basin=-]
Station [codename=149001, latitude=-14900.0, longitude=-494900.0, basin=-]
Station [codename=149002, latitude=-14300.0, longitude=-493100.0, basin=-]
Station [codename=149003, latitude=-20007.0, longitude=-495149.0, basin=-]
Station [codename=149004, latitude=-15351.0, longitude=-492254.0, basin=-]
Station [codename=149005, latitude=-14300.0, longitude=-493100.0, basin=-]
Station [codename=149006, latitude=-13125.0, longitude=-491300.0, basin=-]
Station [codename=150000, latitude=-14100.0, longitude=-502900.0, basin=-]
Station [codename=150001, latitude=-14048.0, longitude=-502841.0, basin=-]
Station [codename=150002, latitude=-11100.0, longitude=-502800.0, basin=-]
Station [codename=150003, latitude=-14730.0, longitude=-502605.0, basin=-]
Station [codename=151000, latitude=-10724.0, longitude=-515947.0, basin=-]
Station [codename=151001, latitude=-14732.0, longitude=-512604.0, basin=-]
Station [codename=151002, latitude=-11247.0, longitude=-511544.0, basin=-]
Station [codename=151003, latitude=-13457.0, longitude=-515504.0, basin=-]
Station [codename=152000, latitude=-14500.0, longitude=-521400.0, basin=-]
Station [codename=152001, latitude=-14505.0, longitude=-521411.0, basin=-]
Station [codename=152002, latitude=-13200.0, longitude=-523400.0, basin=-]
Station [codename=152003, latitude=-14500.0, longitude=-521400.0, basin=-]
Station [codename=152004, latitude=-11700.0, longitude=-525800.0, basin=-]
Station [codename=152005, latitude=-13135.0, longitude=-523442.0, basin=-]
Station [codename=152006, latitude=-10455.0, longitude=-530927.0, basin=-]
Station [codename=153000, latitude=-14804.0, longitude=-532848.0, basin=-]
Station [codename=154000, latitude=-14625.0, longitude=-542350.0, basin=-]
Station [codename=154001, latitude=-13000.0, longitude=-545217.0, basin=-]
Station [codename=154002, latitude=-15600.0, longitude=-544600.0, basin=-]
Station [codename=154003, latitude=-15634.0, longitude=-544421.0, basin=-]
Station [codename=155000, latitude=-14535.0, longitude=-555141.0, basin=-]
Station [codename=155001, latitude=-15405.0, longitude=-553107.0, basin=-]
Station [codename=155002, latitude=-15317.0, longitude=-550656.0, basin=-]
Station [codename=155003, latitude=-15509.0, longitude=-553047.0, basin=-]
Station [codename=156000, latitude=-10749.0, longitude=-560312.0, basin=-]
Station [codename=156001, latitude=-12730.0, longitude=-562300.0, basin=-]
Station [codename=156002, latitude=-12720.0, longitude=-562409.0, basin=-]
Station [codename=156003, latitude=-12800.0, longitude=-562300.0, basin=-]
Station [codename=157000, latitude=-10515.0, longitude=-570249.0, basin=-]
Station [codename=157001, latitude=-12616.0, longitude=-574939.0, basin=-]
Station [codename=157002, latitude=-15206.0, longitude=-570302.0, basin=-]
Station [codename=158000, latitude=-13826.0, longitude=-583108.0, basin=-]
Station [codename=158001, latitude=-10200.0, longitude=-584100.0, basin=-]
Station [codename=158002, latitude=-14004.0, longitude=-583217.0, basin=-]
Station [codename=158003, latitude=-15558.0, longitude=-581521.0, basin=-]
Station [codename=158004, latitude=-14100.0, longitude=-583200.0, basin=-]
Station [codename=159000, latitude=-15617.0, longitude=-592900.0, basin=-]
Station [codename=159001, latitude=-15700.0, longitude=-592800.0, basin=-]
Station [codename=159002, latitude=-11236.0, longitude=-593502.0, basin=-]
Station [codename=160000, latitude=-11756.0, longitude=-602359.0, basin=-]
Station [codename=160001, latitude=-11301.0, longitude=-601404.0, basin=-]
Station [codename=161000, latitude=-12700.0, longitude=-613800.0, basin=-]
Station [codename=161001, latitude=-15700.0, longitude=-612200.0, basin=-]
Station [codename=161002, latitude=-12724.0, longitude=-613805.0, basin=-]
Station [codename=161003, latitude=-14400.0, longitude=-615500.0, basin=-]
Station [codename=161004, latitude=-14958.0, longitude=-613554.0, basin=-]
Station [codename=162000, latitude=-12340.0, longitude=-615842.0, basin=-]
Station [codename=162001, latitude=-15900.0, longitude=-620400.0, basin=-]
Station [codename=162002, latitude=-15248.0, longitude=-622739.0, basin=-]
Station [codename=162003, latitude=-14254.0, longitude=-624941.0, basin=-]
Station [codename=163001, latitude=-14132.0, longitude=-634713.0, basin=-]
Station [codename=165000, latitude=-15140.0, longitude=-653526.0, basin=-]
Station [codename=165001, latitude=-10000.0, longitude=-650000.0, basin=-]
Station [codename=166000, latitude=-14916.0, longitude=-663600.0, basin=-]
Station [codename=166001, latitude=-11610.0, longitude=-661126.0, basin=-]
Station [codename=167000, latitude=-13800.0, longitude=-674000.0, basin=-]
Station [codename=167001, latitude=-14355.0, longitude=-673443.0, basin=-]
Station [codename=168000, latitude=-14600.0, longitude=-685000.0, basin=-]
Station [codename=169000, latitude=-12400.0, longitude=-692500.0, basin=-]
Station [codename=169001, latitude=-10000.0, longitude=-690000.0, basin=-]
Station [codename=169002, latitude=-14400.0, longitude=-690700.0, basin=-]
Station [codename=169003, latitude=-12300.0, longitude=-692500.0, basin=-]
Station [codename=173000, latitude=-14800.0, longitude=-731900.0, basin=-]
Station [codename=175000, latitude=-13600.0, longitude=-751200.0, basin=-]
Station [codename=177000, latitude=-13500.0, longitude=-775400.0, basin=-]
Station [codename=177001, latitude=-11000.0, longitude=-775100.0, basin=-]
Station [codename=177002, latitude=-10300.0, longitude=-774700.0, basin=-]
Station [codename=177003, latitude=-14900.0, longitude=-775400.0, basin=-]
Station [codename=177009, latitude=-14200.0, longitude=-775400.0, basin=-]
Station [codename=178000, latitude=-10400.0, longitude=-782500.0, basin=-]
Station [codename=178001, latitude=-10100.0, longitude=-783500.0, basin=-]
Station [codename=178003, latitude=-11700.0, longitude=-783800.0, basin=-]
Station [codename=178004, latitude=-11800.0, longitude=-783000.0, basin=-]
Station [codename=178005, latitude=-12400.0, longitude=-782500.0, basin=-]
Station [codename=178006, latitude=-13800.0, longitude=-784000.0, basin=-]
Station [codename=178007, latitude=-13000.0, longitude=-780300.0, basin=-]
Station [codename=178008, latitude=-15600.0, longitude=-784300.0, basin=-]
Station [codename=178009, latitude=-14500.0, longitude=-784000.0, basin=-]
Station [codename=178011, latitude=-11000.0, longitude=-783200.0, basin=-]
Station [codename=178012, latitude=-11500.0, longitude=-783700.0, basin=-]
Station [codename=178013, latitude=-12400.0, longitude=-782400.0, basin=-]
Station [codename=178014, latitude=-13800.0, longitude=-784000.0, basin=-]
Station [codename=179001, latitude=-14800.0, longitude=-793300.0, basin=-]
Station [codename=179002, latitude=-10600.0, longitude=-792942.0, basin=-]
Station [codename=180001, latitude=-10203.0, longitude=-802734.0, basin=-]
Station [codename=239001, latitude=-25500.0, longitude=-395500.0, basin=-]
Station [codename=240000, latitude=-25400.0, longitude=-405000.0, basin=-]
Station [codename=240001, latitude=-25300.0, longitude=-400700.0, basin=-]
Station [codename=240002, latitude=-25500.0, longitude=-405000.0, basin=-]
Station [codename=240004, latitude=-25100.0, longitude=-403500.0, basin=-]
Station [codename=240005, latitude=-25300.0, longitude=-400800.0, basin=-]
Station [codename=240006, latitude=-24900.0, longitude=-402500.0, basin=-]
Station [codename=240007, latitude=-25300.0, longitude=-400700.0, basin=-]
Station [codename=240008, latitude=-25000.0, longitude=-401300.0, basin=-]
Station [codename=240009, latitude=-24900.0, longitude=-401300.0, basin=-]
Station [codename=240010, latitude=-25600.0, longitude=-401600.0, basin=-]
Station [codename=240011, latitude=-25800.0, longitude=-405600.0, basin=-]
Station [codename=240012, latitude=-25600.0, longitude=-401100.0, basin=-]
Station [codename=240013, latitude=-25500.0, longitude=-402900.0, basin=-]
Station [codename=240014, latitude=-24700.0, longitude=-403100.0, basin=-]
Station [codename=240015, latitude=-25948.0, longitude=-403413.0, basin=-]
Station [codename=241000, latitude=-25300.0, longitude=-414000.0, basin=-]
Station [codename=241001, latitude=-25500.0, longitude=-414700.0, basin=-]
Station [codename=241002, latitude=-25500.0, longitude=-414700.0, basin=-]
Station [codename=241003, latitude=-25900.0, longitude=-410500.0, basin=-]
Station [codename=241004, latitude=-25500.0, longitude=-411800.0, basin=-]
Station [codename=242000, latitude=-24500.0, longitude=-425000.0, basin=-]
Station [codename=242001, latitude=-24600.0, longitude=-421700.0, basin=-]
Station [codename=242002, latitude=-25408.0, longitude=-421847.0, basin=-]
Station [codename=244000, latitude=-22700.0, longitude=-444800.0, basin=-]
Station [codename=244001, latitude=-20800.0, longitude=-443700.0, basin=-]
Station [codename=244002, latitude=-23300.0, longitude=-440400.0, basin=-]
Station [codename=244003, latitude=-25700.0, longitude=-441500.0, basin=-]
Station [codename=244004, latitude=-24200.0, longitude=-445000.0, basin=-]
Station [codename=244006, latitude=-23200.0, longitude=-441800.0, basin=-]
Station [codename=244007, latitude=-23200.0, longitude=-441800.0, basin=-]
Station [codename=244008, latitude=-23200.0, longitude=-441800.0, basin=-]
Station [codename=244009, latitude=-23500.0, longitude=-441400.0, basin=-]
Station [codename=244010, latitude=-24300.0, longitude=-445000.0, basin=-]
Station [codename=244011, latitude=-20746.0, longitude=-443625.0, basin=-]
Station [codename=244012, latitude=-24204.0, longitude=-444924.0, basin=-]
Station [codename=244017, latitude=-23200.0, longitude=-441800.0, basin=-]
Station [codename=245000, latitude=-25500.0, longitude=-453900.0, basin=-]
Station [codename=245001, latitude=-25714.0, longitude=-453953.0, basin=-]
Station [codename=245002, latitude=-23700.0, longitude=-452800.0, basin=-]
Station [codename=245003, latitude=-20308.0, longitude=-455730.0, basin=-]
Station [codename=245004, latitude=-24800.0, longitude=-451900.0, basin=-]
Station [codename=245005, latitude=-23100.0, longitude=-450500.0, basin=-]
Station [codename=245006, latitude=-21400.0, longitude=-451800.0, basin=-]
Station [codename=245007, latitude=-23017.0, longitude=-454703.0, basin=-]
Station [codename=245008, latitude=-25815.0, longitude=-452118.0, basin=-]
Station [codename=245009, latitude=-23525.0, longitude=-452155.0, basin=-]
Station [codename=245010, latitude=-23055.0, longitude=-450508.0, basin=-]
Station [codename=245011, latitude=-21626.0, longitude=-451616.0, basin=-]
Station [codename=245012, latitude=-23055.0, longitude=-450508.0, basin=-]
Station [codename=246000, latitude=-23400.0, longitude=-463100.0, basin=-]
Station [codename=246001, latitude=-23400.0, longitude=-463100.0, basin=-]
Station [codename=246002, latitude=-21407.0, longitude=-462608.0, basin=-]
Station [codename=247000, latitude=-23046.0, longitude=-474605.0, basin=-]
Station [codename=247001, latitude=-22600.0, longitude=-471500.0, basin=-]
Station [codename=247003, latitude=-20208.0, longitude=-474502.0, basin=-]
Station [codename=247004, latitude=-22534.0, longitude=-473158.0, basin=-]
Station [codename=247005, latitude=-24618.0, longitude=-464809.0, basin=-]
Station [codename=247006, latitude=-25654.0, longitude=-474852.0, basin=-]
Station [codename=247007, latitude=-25900.0, longitude=-472800.0, basin=-]
Station [codename=247008, latitude=-22036.0, longitude=-475049.0, basin=-]
Station [codename=248000, latitude=-20800.0, longitude=-482300.0, basin=-]
Station [codename=248001, latitude=-22450.0, longitude=-484118.0, basin=-]
Station [codename=248002, latitude=-20800.0, longitude=-482300.0, basin=-]
Station [codename=248003, latitude=-22517.0, longitude=-480857.0, basin=-]
Station [codename=248004, latitude=-23800.0, longitude=-481300.0, basin=-]
Station [codename=248005, latitude=-23100.0, longitude=-482200.0, basin=-]
Station [codename=248006, latitude=-22514.0, longitude=-481443.0, basin=-]
Station [codename=248007, latitude=-23859.0, longitude=-485617.0, basin=-]
Station [codename=249000, latitude=-21500.0, longitude=-493000.0, basin=-]
Station [codename=249001, latitude=-21422.0, longitude=-492959.0, basin=-]
Station [codename=249002, latitude=-24816.0, longitude=-492240.0, basin=-]
Station [codename=249003, latitude=-24706.0, longitude=-494010.0, basin=-]
Station [codename=249004, latitude=-22659.0, longitude=-492618.0, basin=-]
Station [codename=250000, latitude=-24706.0, longitude=-502713.0, basin=-]
Station [codename=250001, latitude=-15930.0, longitude=-502207.0, basin=-]
Station [codename=250002, latitude=-22712.0, longitude=-505522.0, basin=-]
Station [codename=250003, latitude=-21442.0, longitude=-503747.0, basin=-]
Station [codename=251000, latitude=-21442.0, longitude=-511046.0, basin=-]
Station [codename=251001, latitude=-23512.0, longitude=-515653.0, basin=-]
Station [codename=252000, latitude=-21300.0, longitude=-524800.0, basin=-]
Station [codename=252001, latitude=-22011.0, longitude=-525507.0, basin=-]
Station [codename=253000, latitude=-11044.0, longitude=-533558.0, basin=-]
Station [codename=254000, latitude=-22635.0, longitude=-544227.0, basin=-]
Station [codename=254001, latitude=-23200.0, longitude=-541700.0, basin=-]
Station [codename=254002, latitude=-20008.0, longitude=-540435.0, basin=-]
Station [codename=254003, latitude=-23831.0, longitude=-545638.0, basin=-]
Station [codename=254004, latitude=-22500.0, longitude=-544700.0, basin=-]
Station [codename=254005, latitude=-24854.0, longitude=-541752.0, basin=-]
Station [codename=254006, latitude=-24400.0, longitude=-544600.0, basin=-]
Station [codename=254007, latitude=-24900.0, longitude=-541800.0, basin=-]
Station [codename=254008, latitude=-25931.0, longitude=-542745.0, basin=-]
Station [codename=254009, latitude=-24800.0, longitude=-541748.0, basin=-]
Station [codename=254010, latitude=-21546.0, longitude=-543128.0, basin=-]
Station [codename=254011, latitude=-23900.0, longitude=-544908.0, basin=-]
Station [codename=255000, latitude=-21606.0, longitude=-552850.0, basin=-]
Station [codename=255001, latitude=-23903.0, longitude=-554314.0, basin=-]
Station [codename=255002, latitude=-23352.0, longitude=-552227.0, basin=-]
Station [codename=256000, latitude=-23719.0, longitude=-564336.0, basin=-]
Station [codename=256001, latitude=-20908.0, longitude=-560515.0, basin=-]
Station [codename=256002, latitude=-21123.0, longitude=-564238.0, basin=-]
Station [codename=256003, latitude=-23759.0, longitude=-561506.0, basin=-]
Station [codename=257000, latitude=-23216.0, longitude=-574529.0, basin=-]
Station [codename=257001, latitude=-24732.0, longitude=-570352.0, basin=-]
Station [codename=257002, latitude=-25813.0, longitude=-573524.0, basin=-]
Station [codename=257003, latitude=-22720.0, longitude=-571657.0, basin=-]
Station [codename=258001, latitude=-21728.0, longitude=-583021.0, basin=-]
Station [codename=259000, latitude=-20652.0, longitude=-592007.0, basin=-]
Station [codename=259001, latitude=-24800.0, longitude=-592800.0, basin=-]
Station [codename=259003, latitude=-24100.0, longitude=-594100.0, basin=-]
Station [codename=259004, latitude=-24201.0, longitude=-594159.0, basin=-]
Station [codename=259005, latitude=-23936.0, longitude=-592139.0, basin=-]
Station [codename=260000, latitude=-23500.0, longitude=-600700.0, basin=-]
Station [codename=260001, latitude=-23800.0, longitude=-600500.0, basin=-]
Station [codename=260002, latitude=-23400.0, longitude=-600700.0, basin=-]
Station [codename=260003, latitude=-23600.0, longitude=-600600.0, basin=-]
Station [codename=260004, latitude=-23400.0, longitude=-600600.0, basin=-]
Station [codename=260005, latitude=-25430.0, longitude=-604021.0, basin=-]
Station [codename=260006, latitude=-23738.0, longitude=-605633.0, basin=-]
Station [codename=260007, latitude=-20230.0, longitude=-600133.0, basin=-]
Station [codename=260008, latitude=-25430.0, longitude=-604021.0, basin=-]
Station [codename=260009, latitude=-23954.0, longitude=-601937.0, basin=-]
Station [codename=261000, latitude=-20130.0, longitude=-613230.0, basin=-]
Station [codename=261001, latitude=-25923.0, longitude=-614345.0, basin=-]
Station [codename=265000, latitude=-22100.0, longitude=-650700.0, basin=-]
Station [codename=266000, latitude=-23200.0, longitude=-661000.0, basin=-]
Station [codename=266001, latitude=-24500.0, longitude=-665700.0, basin=-]
Station [codename=266002, latitude=-20600.0, longitude=-662700.0, basin=-]
Station [codename=266003, latitude=-20659.0, longitude=-662746.0, basin=-]
Station [codename=266004, latitude=-25325.0, longitude=-665657.0, basin=-]
Station [codename=266005, latitude=-22927.0, longitude=-660335.0, basin=-]
Station [codename=267001, latitude=-24500.0, longitude=-673400.0, basin=-]
Station [codename=268000, latitude=-25250.0, longitude=-684755.0, basin=-]
Station [codename=269000, latitude=-25900.0, longitude=-693500.0, basin=-]
Station [codename=269001, latitude=-25547.0, longitude=-694135.0, basin=-]
Station [codename=270000, latitude=-21700.0, longitude=-705900.0, basin=-]
